stage,phi_col,theta_hat,theta_hat_raw,share_of_total,se_cluster_robust,ci95_lo_normal,ci95_hi_normal,band95_lo_simultaneous,band95_hi_simultaneous,ci95_lo_boot,ci95_hi_boot,corpus,n_obs,n_claims,n_clusters,r_train,finite_R_correction,adding_up_target_EV,adding_up_total_theta,adding_up_gap_pct,simultaneous_q95
theta_1 (Extraction),phi1,-0.00016523681101458695,-0.00016523681101458695,-0.045067528951213714,9.076268689202244e-05,-0.00034312840846303656,1.2654786433862684e-05,-0.0003661035827103973,3.5629960681223395e-05,-0.0003300130257811308,5.236941354258638e-07,SSRP,2100,21,21,80.0,0.9876543209876545,0.003612189033189033,0.003666427134122625,1.501529970753158,2.2130985603673823
theta_2 (Stat review),phi2,0.0017270154508530963,0.0017270154508530963,0.4710349851985728,0.0005705459411360408,0.0006087659547009466,0.002845264947005246,0.00046434104990147104,0.0029896898518047216,0.0007091227750311414,0.0027285718814256217,SSRP,2100,21,21,80.0,0.9876543209876545,0.003612189033189033,0.003666427134122625,1.501529970753158,2.2130985603673823
theta_3 (Researcher DoF),phi3,0.00012585836153382324,0.00012585836153382324,0.034327250189288463,4.831232572145878e-05,3.116794311039595e-05,0.00022054877995725052,1.893842303166276e-05,0.00023277830003598371,3.676235202976726e-05,0.00021335794717254296,SSRP,2100,21,21,80.0,0.9876543209876545,0.003612189033189033,0.003666427134122625,1.501529970753158,2.2130985603673823
theta_4 (Theory/context),phi4,4.738943398884889e-05,4.738943398884889e-05,0.012925235455467239,1.7218514283272977e-05,1.3641766126345355e-05,8.113710185135242e-05,9.283164816872253e-06,8.549570316082553e-05,1.5386438412456246e-05,7.898122698581404e-05,SSRP,2100,21,21,80.0,0.9876543209876545,0.003612189033189033,0.003666427134122625,1.501529970753158,2.2130985603673823
theta_res (Residual),phi_res,0.0019314006987614439,0.001955543207495963,0.5267800581078853,0.0002252537320230566,0.0014899114966130163,0.0023728899009098714,0.001432891988703837,0.0024299094088190507,0.0015354845172803901,0.002323146719614322,SSRP,2100,21,21,80.0,0.9876543209876545,0.003612189033189033,0.003666427134122625,1.501529970753158,2.2130985603673823
