claim_id,theta_i_phi1,theta_i_phi2,theta_i_phi3,theta_i_phi4,theta_i_phi_res,cluster_id,R_i,r_train_mean
20_2_1,-3.071440458450129e-09,0.0030419877734139955,-7.747791733891412e-05,-1.7035971912104158e-05,0.002066059043664487,20,18,14.333333333333334
20_2_2,2.8462070530282935e-09,0.001645022199429514,4.112695425221441e-06,-1.4064713595249995e-07,0.0010560787196836289,20,16,12.75
20_2_3,-2.431271572955751e-12,0.002056846170455706,3.130606379444241e-05,2.1112566598303905e-06,0.0012218677615212937,20,100,80.0
21_1_1,8.682318780026649e-05,0.002054627100572581,1.743518037083336e-05,2.1908019414308005e-05,0.001534512761842011,21,100,80.0
21_1_2,-0.0001054707616969941,0.0008086397881435703,-3.14637177476082e-05,1.667117488346026e-05,0.0037810672664175564,21,100,80.0
21_1_3,-2.624146435169313e-05,0.002518338504831459,5.8517771792329016e-05,4.508031036947395e-06,0.0037686678682399615,21,98,78.38775510204081
24_1_1,-2.7902244635151047e-10,0.0008445098859419376,-1.5812034801578662e-05,-1.1010820945592355e-05,0.0011589114635558223,24,78,62.38461538461539
24_1_2,4.297001826970434e-09,0.001819350518338731,-7.110398942203406e-05,0.00018907254998895025,0.0039115964441214885,24,57,45.578947368421055
24_1_3,-5.5992310660557885e-06,0.0015442861044601666,-3.205128909464803e-05,8.238641274011581e-05,0.001302519976441674,24,82,65.58536585365853
24_1_4,2.4930280182714818e-05,0.002146827186345825,-4.261534260485683e-05,-2.5172405173111715e-05,0.001987441461074472,24,81,64.79012345679013
24_1_5,-6.647753235414176e-05,0.0052445593926470895,0.00014208642949504682,0.00022807630039848304,0.0023830834501185204,24,61,48.78688524590164
24_2_1,-1.2224744924682618e-10,0.0009569610380427224,-2.0354804215336336e-05,-6.916191248797638e-06,0.001127410079668863,24,100,80.0
24_2_2,-1.2224745299382888e-10,0.00025176491148065264,0.00013566808000780738,-3.06304221116125e-05,0.001314791302870604,24,100,80.0
24_2_3,-0.00030791232452882344,0.003597659758142084,-7.72685807303214e-05,-9.07872573676194e-06,0.0016802811228538224,24,100,80.0
24_2_4,-1.2224744799782528e-10,0.0013871620636515913,0.00010039521758817365,3.1167059294688674e-05,0.0010110632817129973,24,100,80.0
24_2_5,-4.778095935214638e-05,0.000557979440605567,4.0578109701042834e-06,2.00184668317388e-05,0.0010600689909447336,24,100,80.0
24_2_6,-0.00030953020325970163,0.003322786934182904,-3.1658579531000654e-06,4.497313686831608e-05,0.0013674234901615808,24,100,80.0
24_3_1,-1.22247447165158e-10,0.0011105844839584059,-2.6883312510644492e-05,3.86639185000498e-05,0.0009289475322996402,24,100,80.0
24_3_2,1.1334283376449873e-05,0.0014836206474474894,8.071386709941855e-05,0.00010286029256076384,0.0008891709095158779,24,100,80.0
24_3_3,-6.160494407093791e-06,0.0012785682708098564,0.0001211150823322793,-1.341193540079222e-06,0.0014162870848050384,24,100,80.0
24_3_4,7.997700673846293e-05,0.002686075597223954,6.025165769298792e-06,-8.030198337857122e-06,0.004466660973061971,24,71,56.7887323943662
24_3_5,-1.2224744952438193e-10,0.0003774243826794578,1.4504499594466813e-05,6.759801744419764e-05,0.0008871794725293289,24,100,80.0
24_3_6,-1.2224744896927043e-10,0.0008210656583178557,-8.025308869786044e-06,1.6149587323029956e-05,0.0009437351854763525,24,100,80.0
24_3_7,-1.222474484141589e-10,0.00031187171074312237,9.34062853219994e-06,4.5189187085617476e-05,0.0011053735958865105,24,100,80.0
24_3_8,-4.947263311434991e-09,0.0012330110274919484,7.280029206686393e-05,1.5877364627485266e-05,0.0028189901988470364,24,51,40.78431372549019
24_4_1,-1.3674518063294949e-05,0.0010082735643739652,1.3234822280338357e-05,-1.363420332723693e-05,0.000889550334736228,24,100,80.0
24_4_2,-2.767762471520954e-05,0.0007722241453964348,-3.430934457255605e-05,-8.945407111502282e-06,0.0009689082310028318,24,100,80.0
24_4_3,-2.9789224905052148e-05,0.005512355152888636,-5.777821269518285e-05,2.805553161608576e-05,0.006117081753095514,24,100,80.0
24_4_4,-6.542477792289392e-05,0.0008971858042671265,4.144817783008105e-05,4.5506665816816456e-05,0.0011150528800088684,24,100,80.0
24_4_5,-1.2224744418143363e-10,0.00015062829916121108,0.0002859438626438289,8.70865719733785e-08,0.0010996846238704333,24,100,80.0
24_4_6,-1.2224745007949346e-10,0.002562949394190857,-7.467702677106142e-05,2.7914151243535952e-05,0.002102613603584119,24,100,80.0
24_4_7,-1.2224745202238373e-10,0.002239813127399298,-4.820444020964265e-07,0.00015168887875973105,0.0019718864104905213,24,100,80.0
24_4_8,-1.2224745105093858e-10,0.0025285039429814482,-0.00013293485308082248,-3.7531140942713426e-06,0.0016906403964410956,24,100,80.0
24_4_9,2.3750620270452105e-05,0.00561933783558555,-2.375030669505812e-05,4.143298878844987e-05,0.0061676226120506,24,100,80.0
28_3_1,-1.6202273001788357e-09,0.0027143157229743095,-5.22714628245371e-05,2.3826306178763995e-05,0.0012383209292952755,28,88,70.38636363636364
28_3_2,-1.0328890582340162e-10,0.002390948809938036,0.00021443244835066822,2.4043260055714444e-05,0.001707280831858076,28,90,72.0
28_3_3,5.834575581427873e-10,0.004497912343867898,8.404401910907773e-05,-5.6536347316477054e-05,0.0019365935846717404,28,73,58.38356164383562
29_2_1,3.0455072712680747e-09,0.005687712624779747,0.00012582928545978557,0.00012350088949690787,0.002528759705626784,29,27,21.555555555555557
29_2_2,-3.913394377841711e-05,0.0030573278300378313,4.174864227426871e-05,0.0003791537747511836,0.00461376129192116,29,29,23.17241379310345
29_2_3,4.779189210281244e-05,0.0023073255314453745,-9.292464940163177e-05,0.00010487162934683526,0.001992383914309334,29,23,18.347826086956523
29_3_1,0.0003551402987979887,0.005950671031516884,0.00018918144479291554,-1.117616457324555e-05,0.001458748158306123,29,96,76.79166666666667
37_1_1,-0.0001247438126001388,0.0026467576496882242,4.733281101114358e-06,-0.00017454195533794174,0.002644218051830414,37,99,79.1919191919192
37_2_1,1.3214108267917929e-08,0.006540573817466644,0.0015307909992100521,0.0001316352985947828,0.0012666533372869256,37,7,5.428571428571429
37_2_2,2.2177126632689876e-09,0.0076462569493208,0.0003667106146179376,0.00047560645572857424,0.0038068642772042275,37,23,18.347826086956523
37_3_1,-5.346060860707196e-05,0.004353621685606382,0.000899295860970454,0.00021455539941055146,0.002297538909157083,37,95,76.0
39_1_1,5.843672512183262e-06,0.004065030786879166,0.0003530943228047331,-7.50907706182248e-05,0.0020090782384221506,39,100,80.0
41_2_1,-1.2224744959011883e-10,0.0017924666775776257,0.0005199169673105392,9.809462964378189e-06,0.0014831671251982282,41,95,76.0
42_2_1,-0.0001254063592051278,0.0017567660330953827,9.970879395250256e-06,3.3404521548143937e-06,0.0008894294836277147,42,78,62.38461538461539
42_2_2,4.447949267022346e-06,0.0007611114445292828,-3.256585650443535e-05,-3.695554262403277e-05,0.0007970526144769688,42,86,68.79069767441861
42_2_3,-3.6693319927624414e-05,0.0008438161320282986,3.203161785956999e-05,-7.9154288989263e-05,0.000714608914154339,42,63,50.38095238095238
42_2_4,-0.00011034867327324925,0.0007707727104250879,-3.164429631930989e-05,-1.0812776880074314e-05,0.0006509573277624175,42,74,59.189189189189186
44_1_1,8.718219311986964e-06,0.0030498224302415986,0.0001590498939064401,4.333869633917062e-05,0.0015904957602008035,44,100,80.0
44_1_2,5.482532946641805e-06,0.0015225206763994784,-2.1140864071532567e-05,2.6962765680274558e-06,0.0007607851281573823,44,100,80.0
44_1_3,2.3608931927181775e-05,0.0017454660817738685,-3.132745397436798e-05,4.755083898439733e-05,0.001398245351288925,44,100,80.0
44_1_4,1.2515097929661553e-05,0.0018059311926488443,-1.2245335279695654e-06,3.3925343719756946e-05,0.0010849257804159866,44,99,79.1919191919192
47_1_10,-3.842577539683771e-10,0.0021559079866052,0.00014703975697155335,6.15884780410647e-05,0.0010751843387837494,47,29,23.17241379310345
47_1_11,-1.1975819093015683e-09,0.002993549617388992,-0.0001832004354208017,-4.340636082371991e-05,0.002789792186474165,47,42,33.57142857142857
47_1_12,7.278953216315789e-11,0.002836743886859065,-6.705510212618056e-05,-5.499627935431477e-05,0.0019370693920520825,47,34,27.176470588235293
47_1_13,-2.537354407043716e-10,0.0004706993253648669,4.74209280529519e-05,1.998711479908001e-05,0.0015668718837911412,47,29,23.17241379310345
47_1_7,-2.4312774016266303e-12,0.013900607275709123,-0.0005741116565178191,-4.7189289248443046e-05,0.00807069367248843,47,3,2.0
47_1_8,2.683636430362352e-10,0.0027425735813100226,-3.8669472850173254e-05,7.349583596104216e-05,0.000995816921284774,47,63,50.38095238095238
47_1_9,-5.306937216065233e-10,0.0013168388932807509,-8.751495627595881e-05,-2.6481975551130403e-05,0.0010969763961974314,47,28,22.357142857142858
48_2_1,-3.211549415294002e-11,0.0021964038652832123,0.0011721650056958197,0.0001765224990761624,0.0021294586620602875,48,100,80.0
48_2_2,6.287644925893066e-05,0.0018833700497053374,5.9461459192419466e-05,0.00010624650533150537,0.0017967205365118089,48,100,80.0
48_2_3,-2.9344368833394975e-06,0.002589777560738882,0.000713764562261534,-2.2682550793479833e-05,0.0022039436146764264,48,100,80.0
48_2_4,-3.211549581827455e-11,0.002406938230015401,0.0007688380843832182,1.4890258588567962e-05,0.002609308459128307,48,100,80.0
48_2_5,0.0001622736548948872,0.0008704374993889386,0.000743232857736241,-4.8298798906887265e-06,0.0021088983678706165,48,100,80.0
48_2_6,0.00021866937247376706,0.0031428911099701585,0.0006048915575278343,2.0846217575037353e-05,0.0019191079924532025,48,100,80.0
50_1_1,-8.57874819241844e-05,0.0008617512926693272,8.886538602317917e-05,0.00013608978636539814,0.002165587266866279,50,100,80.0
5_1_1,-8.727278277658159e-06,0.0007660121790538289,0.00019368693822260019,-5.786904453235465e-06,0.0011717069436162524,5,54,43.18518518518518
5_1_2,3.4992506628473555e-05,0.006749778805080914,0.000648695991323176,0.00015538527115724256,0.0040232860976851925,5,80,64.0
5_1_3,4.437069274375316e-06,0.0012428177806127268,0.00032716802966503147,-0.0002194396682944723,0.0017032980387423394,5,20,16.0
6_1_1,2.5963265044837147e-09,0.0019041530559745605,-6.156004996317004e-05,9.288383849133965e-05,0.0016658230283065727,6,12,9.5
9_3_1,-1.0080976558059655e-10,0.001538332023864569,3.5732279966256014e-06,8.171217373312789e-06,0.0012017982793297766,9,98,78.38775510204081
9_3_2,-3.2115486242600965e-11,0.002391223217713169,-3.6366877308007386e-05,3.449123504239739e-05,0.0022114462066679325,9,100,80.0
