component,true_theta,mean_theta_hat,bias,pointwise_coverage,mean_band_width,reps,simultaneous_coverage,mean_abs_adding_up_gap_pct,n,R
phi1,0.0006,0.0006061782102978495,6.178210297848384e-06,0.943,0.00017525256122884514,2000,0.9285,0.7137076083643883,90,100
phi2,0.0016,0.0016178488201406744,1.7848820140673035e-05,0.938,0.0002488720125683433,2000,0.9285,0.7137076083643883,90,100
phi3,0.0003,0.00030280975446782884,2.809754467828266e-06,0.9525,9.053807998358465e-05,2000,0.9285,0.7137076083643883,90,100
phi4,0.0002,0.00020142009929475575,1.420099294755818e-06,0.9535,7.005673443997712e-05,2000,0.9285,0.7137076083643883,90,100
phi_res,0.002,0.0020064457455635947,6.445745563594691e-06,0.9565,0.00015513808327943782,2000,0.9285,0.7137076083643883,90,100
